gf_verbatim,gf,is_woody,substrate,other,is_useless
sub-shrub,shrub,1,terrestrial,subshrub,0
subshrub,shrub,1,terrestrial,subshrub,0
succule\nt,herb,0,terrestrial,succulent,0
succulent,herb,0,terrestrial,succulent,0
succulent basal rosette,herb,0,terrestrial,succulent,0
succulent herb,herb,0,terrestrial,succulent,0
succulent shrub,shrub,1,terrestrial,succulent,0
succulent shrubs,tree,1,terrestrial,succulent,0
succulent stem rosette,herb,0,terrestrial,succulent,0
succulent tree,tree,1,terrestrial,succulent,0
suffrutescent,shrub,1,terrestrial,subshrub,0
suffrutex,shrub,1,terrestrial,subshrub,0
tendril climber,,,climber,,0
terrestrial,,,terrestrial,,0
terrestrial_,,,terrestrial,,0
terrestrial bryoid,herb,0,terrestrial,,0
terrestrial_clumps,,,terrestrial,,0
terrestrial_epiphyte,,,,,1
terrestrial_fern,herb,0,terrestrial,,0
terrestrial_herb,herb,0,terrestrial,,0
terrestrial_shrub,shrub,1,terrestrial,,0
terrestrial_trailing_plant,herb,0,terrestrial,trailing,0
therophyte,herb,0,terrestrial,annual,0
trailer,vine,0,climber,,0
trailing_herb,vine,0,climber,trailing,0
trailing_herb_,vine,0,climber,trailing,0
trailing_herbaceous_vine,vine,0,climber,trailing,0
trailing_plant,vine,0,climber,trailing,0
trailing_vine,vine,0,climber,trailing,0
tree,tree,1,terrestrial,,0
tree_,tree,1,terrestrial,,0
tree-climbing__plant,,,climber,,0
tree fern,tree,1,terrestrial,treefern,0
tree_fern,tree,1,terrestrial,treefern,0
treelet,tree,1,terrestrial,,0
tree like,tree,1,terrestrial,,0
tree-like,tree,1,terrestrial,,0
treelike rosette,tree,1,terrestrial,treelike rosette,0
"tree (means find other one in original, add )",tree,1,terrestrial,,0
treen,,,,,1
tree/shrub,tree,1,terrestrial,,0
trunk,,,,,1
tussock,herb,0,terrestrial,,0
tussock grass,herb,0,terrestrial,,0
twiner,vine,0,climber,,0
twining herb,vine,0,climber,,0
twining shrub,shrub,1,climber,twining shrub,0
understorey,,,,,1
understorey shrub,shrub,1,terrestrial,,0
vascular cryptogam,herb,0,terrestrial,,0
vascular cryptogram,herb,0,terrestrial,,0
vine,vine,0,climber,,0
viny shrub,shrub,1,climber,viny shrub,0
wildflower,,,,,1
wody climber,liana,1,climber,,0
wood_shrub,shrub,1,terrestrial,,0
woody,,1,,,0
woody climber,liana,1,climber,,0
woody creeper,liana,1,climber,woody creeper,0
woody epiphyte,shrub,1,epiphyte,,0
woody herb,,,,,1
woody_herb,,,,,1
woody phanerophyte,,1,,phanerophyte,0
woody vine,liana,1,climber,,0
